ダウンロードした時刻：2022/07/04 13:35:53

,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃)
,,,
,,品質情報,均質番号
1881/1/13,9.5,8,1
1881/1/14,9.2,8,1
1881/1/15,8.9,8,1
1881/1/16,11.8,8,1
1881/1/17,9.8,8,1
1881/1/18,11.1,8,1
1881/1/19,4.1,8,1
1881/1/20,6.3,8,1
1881/1/21,8.4,8,1
1881/1/22,6.2,8,1
1881/1/23,8.8,8,1
1881/1/24,4.9,8,1
1881/1/25,3.9,8,1
1881/1/26,6.2,8,1
1881/1/27,8.5,8,1
1881/1/28,9.4,8,1
1881/1/29,12.6,8,1
1881/1/30,8.1,8,1
1881/1/31,7.3,8,1
1881/2/1,9.5,8,1
1881/2/2,10.6,8,1
1881/2/3,8.3,8,1
1881/2/4,8.6,8,1
1881/2/5,10.3,8,1
1881/2/6,6.6,8,1
1881/2/7,7.9,8,1
1881/2/8,8.4,8,1
1881/2/9,11.1,8,1
1881/2/10,14.2,8,1
1881/2/11,7.6,8,1
1881/2/12,8.2,8,1
1881/2/13,9.7,8,1
1881/2/14,5.1,8,1
1881/2/15,12.6,8,1
1881/2/16,5.5,8,1
1881/2/17,11.2,8,1
1881/2/18,9.5,8,1
1881/2/19,7.3,8,1
1881/2/20,13.6,8,1
1881/2/21,7.9,8,1
1881/2/22,5.6,8,1
1881/2/23,8.9,8,1
1881/2/24,19.5,8,1
1881/2/25,13.3,8,1
1881/2/26,6.2,8,1
1881/2/27,10.0,8,1
1881/2/28,5.7,8,1
1881/3/1,10.6,8,1
1881/3/2,10.0,8,1
1881/3/3,8.7,8,1
1881/3/4,4.6,8,1
1881/3/5,6.0,8,1
1881/3/6,2.2,8,1
1881/3/7,6.1,8,1
1881/3/8,2.3,8,1
1881/3/9,11.2,8,1
1881/3/10,8.4,8,1
1881/3/11,5.6,8,1
1881/3/12,15.6,8,1
1881/3/13,8.4,8,1
1881/3/14,12.1,8,1
1881/3/15,10.0,8,1
1881/3/16,11.2,8,1
1881/3/17,11.7,8,1
1881/3/18,12.1,8,1
1881/3/19,15.0,8,1
1881/3/20,16.2,8,1
1881/3/21,10.0,8,1
1881/3/22,10.6,8,1
1881/3/23,10.7,8,1
1881/3/24,10.1,8,1
1881/3/25,11.2,8,1
1881/3/26,11.6,8,1
1881/3/27,15.4,8,1
1881/3/28,13.9,8,1
1881/3/29,15.1,8,1
1881/3/30,17.2,8,1
1881/3/31,12.4,8,1
1881/4/1,16.3,8,1
1881/4/2,21.1,8,1
1881/4/3,17.9,8,1
1881/4/4,16.1,8,1
1881/4/5,12.8,8,1
1881/4/6,6.6,8,1
1881/4/7,13.6,8,1
1881/4/8,18.6,8,1
1881/4/9,15.0,8,1
1881/4/10,16.5,8,1
1881/4/11,16.5,8,1
1881/4/12,18.3,8,1
1881/4/13,9.1,8,1
1881/4/14,13.6,8,1
1881/4/15,15.0,8,1
1881/4/16,14.9,8,1
1881/4/17,12.2,8,1
1881/4/18,17.9,8,1
1881/4/19,19.4,8,1
1881/4/20,19.3,8,1
1881/4/21,18.0,8,1
1881/4/22,13.8,8,1
1881/4/23,15.3,8,1
1881/4/24,19.6,8,1
1881/4/25,21.6,8,1
1881/4/26,22.5,8,1
1881/4/27,24.0,8,1
1881/4/28,18.8,8,1
1881/4/29,26.2,8,1
1881/4/30,16.7,8,1
1881/5/1,16.7,8,1
1881/5/2,24.0,8,1
1881/5/3,18.6,8,1
1881/5/4,16.2,8,1
1881/5/5,19.4,8,1
1881/5/6,21.9,8,1
1881/5/7,22.4,8,1
1881/5/8,23.8,8,1
1881/5/9,23.4,8,1
1881/5/10,20.0,8,1
1881/5/11,22.4,8,1
1881/5/12,22.8,8,1
1881/5/13,18.4,8,1
1881/5/14,22.2,8,1
1881/5/15,21.7,8,1
1881/5/16,23.8,8,1
1881/5/17,26.2,8,1
1881/5/18,26.4,8,1
1881/5/19,24.6,8,1
1881/5/20,23.3,8,1
1881/5/21,21.6,8,1
1881/5/22,23.3,8,1
1881/5/23,27.2,8,1
1881/5/24,22.2,8,1
1881/5/25,22.8,8,1
1881/5/26,21.3,8,1
1881/5/27,23.5,8,1
1881/5/28,23.9,8,1
1881/5/29,25.1,8,1
1881/5/30,24.4,8,1
1881/5/31,22.8,8,1
1881/6/1,22.7,8,1
1881/6/2,23.4,8,1
1881/6/3,25.6,8,1
1881/6/4,25.8,8,1
1881/6/5,27.2,8,1
1881/6/6,21.9,8,1
1881/6/7,20.7,8,1
1881/6/8,24.1,8,1
1881/6/9,20.5,8,1
1881/6/10,20.4,8,1
1881/6/11,26.1,8,1
1881/6/12,26.5,8,1
1881/6/13,29.3,8,1
1881/6/14,32.7,8,1
1881/6/15,30.7,8,1
1881/6/16,29.0,8,1
1881/6/17,25.8,8,1
1881/6/18,23.2,8,1
1881/6/19,26.1,8,1
1881/6/20,22.5,8,1
1881/6/21,26.1,8,1
1881/6/22,29.4,8,1
1881/6/23,28.1,8,1
1881/6/24,28.8,8,1
1881/6/25,24.9,8,1
1881/6/26,25.7,8,1
1881/6/27,20.1,8,1
1881/6/28,24.9,8,1
1881/6/29,28.9,8,1
1881/6/30,28.2,8,1
1881/7/1,26.0,8,1
1881/7/2,26.9,8,1
1881/7/3,27.1,8,1
1881/7/4,26.7,8,1
1881/7/5,23.0,8,1
1881/7/6,19.7,8,1
